Datetime,Open,High,Low,Close,Adj Close,Volume,Datetime_UTC,measurement,tag
2021-03-18 00:00:00-04:00,13195.0,13211.25,13180.5,13208.75,13208.75,0,2021-03-18 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 01:00:00-04:00,13204.5,13218.0,13201.0,13208.25,13208.25,1091,2021-03-18 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 02:00:00-04:00,13211.0,13243.0,13207.25,13228.0,13228.0,1493,2021-03-18 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 03:00:00-04:00,13226.75,13231.25,13048.0,13079.75,13079.75,4710,2021-03-18 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 04:00:00-04:00,13076.5,13103.0,13021.75,13030.0,13030.0,3187,2021-03-18 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 05:00:00-04:00,13026.75,13070.0,13017.0,13050.75,13050.75,2213,2021-03-18 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 06:00:00-04:00,13048.5,13075.75,13040.0,13055.5,13055.5,2106,2021-03-18 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 07:00:00-04:00,13056.75,13060.5,12966.25,12992.25,12992.25,5482,2021-03-18 11:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 08:00:00-04:00,12991.25,13012.0,12971.5,12985.5,12985.5,5616,2021-03-18 12:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 09:00:00-04:00,12985.5,13036.25,12948.5,13011.25,13011.25,13349,2021-03-18 13:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 10:00:00-04:00,13010.0,13010.0,12930.75,12983.5,12983.5,13761,2021-03-18 14:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 11:00:00-04:00,12984.25,13003.25,12944.75,12969.5,12969.5,9899,2021-03-18 15:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 12:00:00-04:00,12968.5,13023.5,12911.25,12915.75,12915.75,8874,2021-03-18 16:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 13:00:00-04:00,12916.5,12994.0,12913.25,12987.0,12987.0,6736,2021-03-18 17:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 14:00:00-04:00,12987.75,12991.0,12838.5,12863.5,12863.5,10225,2021-03-18 18:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 15:00:00-04:00,12859.5,12876.0,12777.75,12798.75,12798.75,11034,2021-03-18 19:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 16:00:00-04:00,12797.0,12840.0,12789.25,12807.5,12807.5,3582,2021-03-18 20:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 18:00:00-04:00,12818.25,12837.0,12798.5,12802.0,12802.0,0,2021-03-18 22:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 19:00:00-04:00,12802.0,12811.75,12791.25,12799.25,12799.25,339,2021-03-18 23:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 20:00:00-04:00,12800.25,12835.0,12797.5,12826.25,12826.25,486,2021-03-19 00:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 21:00:00-04:00,12829.5,12836.0,12793.0,12832.75,12832.75,721,2021-03-19 01:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 22:00:00-04:00,12833.75,12833.75,12770.75,12787.0,12787.0,626,2021-03-19 02:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-18 23:00:00-04:00,12786.5,12830.0,12780.5,12789.25,12789.25,286,2021-03-19 03:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 00:00:00-04:00,12791.5,12816.75,12791.5,12812.75,12812.75,228,2021-03-19 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 01:00:00-04:00,12820.0,12820.0,12781.75,12794.5,12794.5,242,2021-03-19 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 02:00:00-04:00,12787.0,12835.5,12732.75,12819.5,12819.5,771,2021-03-19 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 03:00:00-04:00,12825.0,12882.0,12820.75,12875.75,12875.75,537,2021-03-19 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 04:00:00-04:00,12881.75,12917.75,12872.25,12895.5,12895.5,856,2021-03-19 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 05:00:00-04:00,12899.0,12910.0,12884.5,12887.25,12887.25,326,2021-03-19 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 06:00:00-04:00,12883.25,12886.5,12856.5,12881.75,12881.75,758,2021-03-19 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 07:00:00-04:00,12879.25,12882.75,12841.5,12874.25,12874.25,598,2021-03-19 11:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 08:00:00-04:00,12871.0,12897.25,12858.0,12863.5,12863.5,747,2021-03-19 12:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 09:00:00-04:00,12860.25,12860.25,12770.25,12785.0,12785.0,1042,2021-03-19 13:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-19 16:00:00-04:00,12825.5,12825.5,12825.5,12825.5,12825.5,623155,2021-03-19 20:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-21 18:00:00-04:00,12807.0,12845.75,12788.5,12841.0,12841.0,7305,2021-03-21 22:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-21 19:00:00-04:00,12841.75,12870.5,12837.5,12862.0,12862.0,4909,2021-03-21 23:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-21 20:00:00-04:00,12862.25,12869.5,12847.75,12852.25,12852.25,5794,2021-03-22 00:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-21 21:00:00-04:00,12851.5,12915.0,12819.5,12902.25,12902.25,11921,2021-03-22 01:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-21 22:00:00-04:00,12902.0,12913.75,12880.5,12909.0,12909.0,7207,2021-03-22 02:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-21 23:00:00-04:00,12908.25,12911.0,12894.25,12901.5,12901.5,3236,2021-03-22 03:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 00:00:00-04:00,12901.25,12933.5,12896.5,12916.25,12916.25,5114,2021-03-22 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 01:00:00-04:00,12916.75,12930.0,12893.25,12912.5,12912.5,4855,2021-03-22 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 02:00:00-04:00,12913.25,12925.0,12903.25,12908.0,12908.0,3139,2021-03-22 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 03:00:00-04:00,12907.5,12927.75,12870.0,12892.5,12892.5,9120,2021-03-22 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 04:00:00-04:00,12893.25,12919.0,12871.5,12908.75,12908.75,9949,2021-03-22 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 05:00:00-04:00,12907.5,12922.0,12890.25,12918.5,12918.5,6025,2021-03-22 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 06:00:00-04:00,12920.0,12958.0,12913.75,12942.0,12942.0,7344,2021-03-22 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 07:00:00-04:00,12942.25,12963.5,12934.0,12953.25,12953.25,7681,2021-03-22 11:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 08:00:00-04:00,12953.25,12955.25,12924.0,12936.0,12936.0,10849,2021-03-22 12:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 09:00:00-04:00,12937.25,13021.0,12927.75,13007.5,13007.5,75741,2021-03-22 13:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 10:00:00-04:00,13008.25,13065.25,12982.5,13056.5,13056.5,73061,2021-03-22 14:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 11:00:00-04:00,13056.75,13095.25,13048.5,13077.25,13077.25,38748,2021-03-22 15:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 12:00:00-04:00,13077.0,13157.0,13077.0,13150.75,13150.75,45109,2021-03-22 16:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 13:00:00-04:00,13150.75,13152.75,13115.0,13138.75,13138.75,33154,2021-03-22 17:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 14:00:00-04:00,13139.25,13149.5,13125.0,13144.5,13144.5,27154,2021-03-22 18:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 15:00:00-04:00,13145.0,13154.75,13067.0,13070.5,13070.5,60233,2021-03-22 19:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 16:00:00-04:00,13070.75,13083.5,13060.5,13062.0,13062.0,9383,2021-03-22 20:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 18:00:00-04:00,13069.0,13087.75,13065.25,13079.0,13079.0,0,2021-03-22 22:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 19:00:00-04:00,13078.25,13086.75,13071.0,13086.0,13086.0,2199,2021-03-22 23:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 20:00:00-04:00,13086.5,13105.25,13050.75,13058.0,13058.0,7495,2021-03-23 00:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 21:00:00-04:00,13058.25,13072.0,13031.25,13044.0,13044.0,6715,2021-03-23 01:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 22:00:00-04:00,13043.5,13050.25,13020.0,13030.25,13030.25,5138,2021-03-23 02:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-22 23:00:00-04:00,13029.5,13038.75,13013.25,13031.75,13031.75,4647,2021-03-23 03:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 00:00:00-04:00,13032.0,13038.75,13016.5,13017.75,13017.75,3187,2021-03-23 04:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 01:00:00-04:00,13017.25,13029.0,13004.25,13009.5,13009.5,4431,2021-03-23 05:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 02:00:00-04:00,13009.0,13034.0,13002.5,13029.5,13029.5,4738,2021-03-23 06:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 03:00:00-04:00,13029.0,13057.5,13026.75,13046.25,13046.25,7289,2021-03-23 07:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 04:00:00-04:00,13047.5,13057.0,13008.75,13052.75,13052.75,10987,2021-03-23 08:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 05:00:00-04:00,13053.0,13066.0,13016.5,13033.25,13033.25,8807,2021-03-23 09:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 06:00:00-04:00,13034.0,13062.5,13017.5,13052.5,13052.5,9469,2021-03-23 10:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 07:00:00-04:00,13052.75,13091.75,13050.25,13077.25,13077.25,9580,2021-03-23 11:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 08:00:00-04:00,13078.0,13115.5,13068.75,13106.5,13106.5,14114,2021-03-23 12:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 09:00:00-04:00,13107.75,13120.75,13050.5,13078.75,13078.75,73443,2021-03-23 13:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 10:00:00-04:00,13078.0,13134.5,13051.0,13125.25,13125.25,90390,2021-03-23 14:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 11:00:00-04:00,13124.25,13172.0,13098.75,13113.75,13113.75,69544,2021-03-23 15:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 12:00:00-04:00,13114.25,13138.0,13074.0,13120.25,13120.25,58691,2021-03-23 16:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 13:00:00-04:00,13119.75,13149.0,13069.25,13081.25,13081.25,46166,2021-03-23 17:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 14:00:00-04:00,13080.5,13124.0,13042.5,13044.0,13044.0,55095,2021-03-23 18:00:00,commodity_data_try2,Nasdaq_Futures
2021-03-23 15:00:00-04:00,13043.25,13061.5,12979.25,13005.25,13005.25,91227,2021-03-23 19:00:00,commodity_data_try2,Nasdaq_Futures
