Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-12 18:00:00-04:00,11894.75,11919.0,11883.25,11889.25,11889.25,0
2023-03-12 18:01:00-04:00,11887.5,11887.75,11852.75,11859.0,11859.0,521
2023-03-12 18:02:00-04:00,11858.75,11886.25,11856.25,11883.0,11883.0,442
2023-03-12 18:03:00-04:00,11881.75,11890.75,11881.75,11885.75,11885.75,186
2023-03-12 18:04:00-04:00,11887.5,11890.5,11873.25,11876.5,11876.5,330
2023-03-12 18:05:00-04:00,11877.5,11879.0,11850.0,11876.5,11876.5,393
2023-03-12 18:06:00-04:00,11878.5,11898.5,11878.0,11892.0,11892.0,465
2023-03-12 18:07:00-04:00,11892.75,11895.0,11864.5,11871.0,11871.0,309
2023-03-12 18:08:00-04:00,11872.5,11891.0,11869.25,11891.0,11891.0,171
2023-03-12 18:09:00-04:00,11889.25,11900.75,11886.25,11899.25,11899.25,582
2023-03-12 18:10:00-04:00,11900.5,11917.25,11899.25,11916.0,11916.0,608
2023-03-12 18:11:00-04:00,11916.0,11924.5,11865.5,11876.5,11876.5,673
2023-03-12 18:12:00-04:00,11875.0,11903.25,11871.75,11888.25,11888.25,241
2023-03-12 18:13:00-04:00,11888.0,11894.5,11876.75,11893.0,11893.0,163
2023-03-12 18:14:00-04:00,11892.25,11908.75,11892.25,11896.0,11896.0,285
2023-03-12 18:15:00-04:00,11896.0,11951.75,11877.5,11924.5,11924.5,912
2023-03-12 18:16:00-04:00,11930.0,11980.0,11915.75,11980.0,11980.0,679
2023-03-12 18:17:00-04:00,11976.5,11990.5,11961.25,11978.5,11978.5,556
2023-03-12 18:18:00-04:00,11977.75,12026.5,11972.5,12014.0,12014.0,746
2023-03-12 18:19:00-04:00,12014.5,12045.0,12003.25,12009.25,12009.25,889
2023-03-12 18:20:00-04:00,12009.25,12010.75,11983.5,12006.75,12006.75,546
2023-03-12 18:21:00-04:00,12006.5,12012.5,11983.25,11996.75,11996.75,379
2023-03-12 18:22:00-04:00,11994.5,12027.75,11994.25,12024.75,12024.75,442
2023-03-12 18:23:00-04:00,12022.0,12023.5,11988.5,11990.0,11990.0,195
2023-03-12 18:24:00-04:00,11988.5,12011.75,11980.0,11988.25,11988.25,323
2023-03-12 18:25:00-04:00,11986.5,11999.25,11984.0,11998.75,11998.75,196
2023-03-12 18:26:00-04:00,11998.0,12025.0,11997.75,12014.25,12014.25,290
2023-03-12 18:27:00-04:00,12012.25,12012.25,11991.25,12005.75,12005.75,267
2023-03-12 18:28:00-04:00,12006.0,12008.25,11984.5,11985.0,11985.0,254
2023-03-12 18:29:00-04:00,11985.0,11995.5,11980.5,11988.5,11988.5,236
2023-03-12 18:30:00-04:00,11988.5,11996.5,11978.5,11982.5,11982.5,305
2023-03-12 18:31:00-04:00,11981.5,12008.75,11974.0,11989.25,11989.25,318
2023-03-12 18:32:00-04:00,11988.25,11996.0,11985.75,11986.0,11986.0,196
2023-03-12 18:33:00-04:00,11986.25,11997.5,11980.0,11986.25,11986.25,163
2023-03-12 18:34:00-04:00,11983.0,11984.5,11958.0,11971.0,11971.0,428
2023-03-12 18:35:00-04:00,11971.0,11986.5,11965.25,11979.0,11979.0,249
2023-03-12 18:36:00-04:00,11980.0,11997.5,11979.0,11983.75,11983.75,291
2023-03-12 18:37:00-04:00,11986.25,11997.0,11981.5,11981.5,11981.5,409
2023-03-12 18:38:00-04:00,11982.25,12017.5,11979.5,12014.25,12014.25,611
2023-03-12 18:39:00-04:00,12012.0,12020.0,11998.0,12003.5,12003.5,484
2023-03-12 18:40:00-04:00,12004.0,12034.75,12001.0,12032.75,12032.75,590
2023-03-12 18:41:00-04:00,12032.75,12032.75,12002.75,12002.75,12002.75,465
2023-03-12 18:42:00-04:00,12005.25,12023.25,11996.5,12018.75,12018.75,258
2023-03-12 18:43:00-04:00,12012.75,12019.25,11987.75,12013.5,12013.5,264
2023-03-12 18:44:00-04:00,12011.75,12016.25,12003.5,12012.75,12012.75,122
2023-03-12 18:45:00-04:00,12013.5,12028.75,12013.5,12016.5,12016.5,280
2023-03-12 18:46:00-04:00,12015.5,12018.5,12001.25,12006.0,12006.0,182
2023-03-12 18:47:00-04:00,12006.0,12009.75,12000.25,12005.0,12005.0,169
2023-03-12 18:48:00-04:00,12004.75,12019.25,12004.75,12012.25,12012.25,136
2023-03-12 18:49:00-04:00,12013.75,12016.5,11997.5,11998.75,11998.75,223
2023-03-12 18:50:00-04:00,11999.5,12010.0,11997.25,12000.25,12000.25,200
2023-03-12 18:51:00-04:00,12001.75,12001.75,11986.75,11986.75,11986.75,208
2023-03-12 18:52:00-04:00,11988.5,12003.5,11987.0,11997.25,11997.25,276
2023-03-12 18:53:00-04:00,11998.0,11998.75,11977.75,11980.0,11980.0,256
2023-03-12 18:54:00-04:00,11978.5,11980.0,11970.0,11976.0,11976.0,289
2023-03-12 18:55:00-04:00,11973.5,11980.75,11967.25,11980.75,11980.75,255
2023-03-12 18:56:00-04:00,11982.0,11991.75,11975.25,11977.0,11977.0,269
2023-03-12 18:57:00-04:00,11975.5,11979.75,11964.0,11966.5,11966.5,253
2023-03-12 18:58:00-04:00,11969.5,11976.5,11962.75,11962.75,11962.75,231
2023-03-12 18:59:00-04:00,11963.75,11966.5,11951.0,11952.5,11952.5,323
2023-03-12 19:00:00-04:00,11952.5,11970.25,11947.0,11967.5,11967.5,490
2023-03-12 19:01:00-04:00,11968.75,11975.75,11957.0,11957.0,11957.0,268
2023-03-12 19:02:00-04:00,11955.75,11961.0,11935.5,11956.5,11956.5,512
2023-03-12 19:03:00-04:00,11952.5,11963.5,11948.75,11951.5,11951.5,255
2023-03-12 19:04:00-04:00,11950.25,11962.5,11943.5,11952.75,11952.75,220
2023-03-12 19:05:00-04:00,11951.75,11962.0,11950.0,11960.0,11960.0,187
2023-03-12 19:06:00-04:00,11961.0,11962.0,11947.75,11956.75,11956.75,227
2023-03-12 19:07:00-04:00,11954.75,11959.25,11952.25,11958.25,11958.25,70
2023-03-12 19:08:00-04:00,11958.25,11958.25,11950.75,11950.75,11950.75,133
2023-03-12 19:09:00-04:00,11952.25,11970.25,11952.25,11967.0,11967.0,316
2023-03-12 19:10:00-04:00,11968.75,11974.75,11964.25,11968.75,11968.75,232
2023-03-12 19:11:00-04:00,11967.75,11972.75,11960.25,11966.75,11966.75,167
2023-03-12 19:12:00-04:00,11964.75,11969.5,11963.0,11967.25,11967.25,83
2023-03-12 19:13:00-04:00,11966.75,11971.25,11961.5,11969.25,11969.25,132
2023-03-12 19:14:00-04:00,11969.75,11979.25,11969.5,11975.5,11975.5,199
2023-03-12 19:15:00-04:00,11977.5,11979.0,11968.0,11971.25,11971.25,147
2023-03-12 19:16:00-04:00,11971.0,11978.5,11967.25,11977.75,11977.75,135
2023-03-12 19:17:00-04:00,11976.25,12000.0,11975.5,11998.25,11998.25,362
2023-03-12 19:18:00-04:00,11996.5,11997.5,11989.75,11996.25,11996.25,214
2023-03-12 19:19:00-04:00,11994.5,11996.5,11983.0,11983.75,11983.75,195
2023-03-12 19:20:00-04:00,11983.0,12010.0,11977.75,12007.75,12007.75,288
2023-03-12 19:21:00-04:00,12006.5,12022.5,12001.25,12016.25,12016.25,339
2023-03-12 19:22:00-04:00,12016.0,12016.75,11998.5,12013.0,12013.0,270
2023-03-12 19:23:00-04:00,12013.0,12025.25,12013.0,12015.25,12015.25,265
2023-03-12 19:24:00-04:00,12015.25,12016.25,12003.75,12007.0,12007.0,240
2023-03-12 19:25:00-04:00,12007.0,12008.75,11997.5,12005.0,12005.0,176
2023-03-12 19:26:00-04:00,12004.0,12012.5,11996.75,12000.0,12000.0,307
2023-03-12 19:27:00-04:00,11999.5,12011.5,11999.0,12006.75,12006.75,156
2023-03-12 19:28:00-04:00,12007.75,12018.0,12002.0,12006.25,12006.25,249
2023-03-12 19:29:00-04:00,12007.75,12014.5,12007.75,12009.0,12009.0,115
2023-03-12 19:30:00-04:00,12009.25,12015.75,12001.75,12012.5,12012.5,172
2023-03-12 19:31:00-04:00,12012.25,12012.25,12007.0,12011.5,12011.5,86
2023-03-12 19:32:00-04:00,12010.25,12013.0,12007.0,12008.5,12008.5,60
2023-03-12 19:33:00-04:00,12010.0,12010.0,12000.0,12004.75,12004.75,119
2023-03-12 19:34:00-04:00,12003.5,12004.0,11995.5,11999.0,11999.0,172
2023-03-12 19:35:00-04:00,11998.75,12011.0,11998.25,12001.75,12001.75,204
2023-03-12 19:36:00-04:00,12002.25,12004.0,11996.5,12002.5,12002.5,93
